read:1.3726, augment:0.2511
read:0.9861, augment:0.2897
read:2.5165, augment:0.2697
read:1.6532, augment:0.2675
read:2.1570, augment:0.3078
read:0.8917, augment:0.2832
read:1.0962, augment:0.2377
read:1.3354, augment:0.2685
read:1.4930, augment:0.2713
read:0.3805, augment:0.2179
read:3.0129, augment:0.2725
read:3.6678, augment:0.2739
read:0.7346, augment:0.2646
read:0.6530, augment:0.2613
read:3.7713, augment:0.2782
read:1.6074, augment:0.2768
read:3.0243, augment:0.2720
read:2.0008, augment:0.2625
read:1.4658, augment:0.2756
read:0.5367, augment:0.2539
read:1.6346, augment:0.2620
read:1.0004, augment:0.2663
read:0.9384, augment:0.2704
read:0.5903, augment:0.2649
read:1.3068, augment:0.2589
read:1.4803, augment:0.2739
read:0.9289, augment:0.2296
read:1.3216, augment:0.2604
read:4.1113, augment:0.2773
read:0.8650, augment:0.2620
read:3.4275, augment:0.2773
read:2.0108, augment:0.2713
read:1.2355, augment:0.2654
read:1.6093, augment:0.2701
read:1.0657, augment:0.2687
read:0.8698, augment:0.2637
read:2.2044, augment:0.3178
read:0.2558, augment:0.2179
read:0.4809, augment:0.2348
read:3.2890, augment:0.2801
read:1.5800, augment:0.2673
read:4.2665, augment:0.2739
read:0.4215, augment:0.2592
read:3.2299, augment:0.2749
read:2.6336, augment:0.2704
read:2.5680, augment:0.2761
read:4.2393, augment:0.2394
read:5.6093, augment:0.2897
read:1.5244, augment:0.2677
read:0.8388, augment:0.2596
read:1.7219, augment:0.2728
read:6.7692, augment:0.2759
read:1.6482, augment:0.2680
read:2.7611, augment:0.2873
read:1.1148, augment:0.2735
read:2.4316, augment:0.2775
read:0.9217, augment:0.2625
read:0.8547, augment:0.2444
read:1.7064, augment:0.2596
read:1.6015, augment:0.2654
read:0.9029, augment:0.2677
read:2.5175, augment:0.2742
read:0.8783, augment:0.2706
read:0.8285, augment:0.2623
read:0.5827, augment:0.2437
read:0.5825, augment:0.2580
read:1.1828, augment:0.2341
read:5.1026, augment:0.2756
read:1.8711, augment:0.2744
read:2.6343, augment:0.2744
read:3.1624, augment:0.2754
read:1.3709, augment:0.2766
read:1.2250, augment:0.2735
read:1.6849, augment:0.2747
read:1.4169, augment:0.2687
read:1.2531, augment:0.2651
read:1.2350, augment:0.2720
read:2.6109, augment:0.2759
read:0.5505, augment:0.2568
read:2.7268, augment:0.2773
read:1.0116, augment:0.2773
read:3.3715, augment:0.2780
read:3.0692, augment:0.2828
read:0.7265, augment:0.2646
read:1.1961, augment:0.2468
read:3.3095, augment:0.2706
read:0.5989, augment:0.2491
read:0.7846, augment:0.2639
read:0.1595, augment:0.2401
read:1.6782, augment:0.2620
read:1.1609, augment:0.2642
read:2.4133, augment:0.2723
read:0.4466, augment:0.2451
read:2.5258, augment:0.2728
read:1.0140, augment:0.2639
read:0.2520, augment:0.2322
