read:0.6683, augment:0.4461
read:3.0890, augment:0.3350
read:1.5385, augment:0.3247
read:1.5020, augment:0.2921
read:0.7665, augment:0.2882
read:3.6223, augment:0.3519
read:1.7533, augment:0.2718
read:1.8287, augment:0.3204
read:9.0926, augment:0.3235
read:3.0375, augment:0.3009
read:2.3055, augment:0.2725
read:6.5689, augment:0.2747
read:1.5728, augment:0.2866
read:1.8315, augment:0.2618
read:3.6483, augment:0.2811
read:2.9888, augment:0.2742
read:5.2438, augment:0.2759
read:1.4443, augment:0.2208
read:3.0837, augment:0.2835
read:3.4595, augment:0.2792
read:1.7238, augment:0.2725
read:0.9358, augment:0.2604
read:1.6963, augment:0.2718
read:1.9560, augment:0.2685
read:1.2872, augment:0.2680
read:4.9725, augment:0.2720
read:0.8755, augment:0.2563
read:1.2767, augment:0.2720
read:1.9386, augment:0.2661
read:1.8487, augment:0.2978
read:1.9288, augment:0.2673
read:0.2952, augment:0.2239
read:4.7648, augment:0.2704
read:1.7657, augment:0.2732
read:1.8957, augment:0.2756
read:1.3726, augment:0.2589
read:2.0418, augment:0.2751
read:2.7394, augment:0.2837
read:0.9797, augment:0.2620
read:2.9788, augment:0.2697
read:0.6135, augment:0.2604
read:3.2613, augment:0.2942
read:2.0921, augment:0.2680
read:3.3743, augment:0.2773
read:1.2116, augment:0.2642
read:5.4114, augment:0.2737
read:0.3145, augment:0.2527
read:4.2272, augment:0.2747
read:0.8073, augment:0.2697
read:1.5917, augment:0.2651
read:0.9806, augment:0.2644
read:2.0926, augment:0.2902
read:1.1065, augment:0.2689
read:0.5457, augment:0.2935
read:0.6855, augment:0.2766
read:0.6003, augment:0.2604
read:8.5270, augment:0.3307
read:0.9449, augment:0.2470
read:2.4192, augment:0.2754
read:0.7300, augment:0.2632
read:0.1769, augment:0.2472
read:1.8687, augment:0.2666
read:2.0063, augment:0.2892
read:2.0974, augment:0.2649
read:2.9919, augment:0.2944
read:0.7648, augment:0.2792
read:1.2152, augment:0.2828
read:2.4204, augment:0.2909
read:0.9937, augment:0.2806
read:2.2256, augment:0.2875
read:2.4333, augment:0.2739
read:0.8531, augment:0.3049
read:0.6595, augment:0.2820
read:0.4618, augment:0.2620
read:0.6275, augment:0.2649
read:0.8304, augment:0.2604
read:3.4084, augment:0.2701
read:0.3805, augment:0.2563
read:1.1809, augment:0.2718
read:1.1315, augment:0.2723
read:2.8574, augment:0.2737
read:2.1729, augment:0.2675
read:0.2306, augment:0.2170
read:1.5140, augment:0.2694
read:1.1096, augment:0.2618
read:1.1618, augment:0.2503
read:1.4644, augment:0.2635
read:2.2988, augment:0.2921
read:1.9348, augment:0.2723
read:1.9820, augment:0.2739
read:22.9800, augment:0.5002
read:0.7501, augment:0.2520
read:2.1064, augment:0.2787
read:0.4907, augment:0.2532
read:3.0658, augment:0.2756
read:0.3626, augment:0.2511
read:2.0826, augment:0.2708
read:3.2649, augment:0.2742
read:0.7823, augment:0.2983
read:1.7328, augment:0.2756
read:3.7436, augment:0.2773
read:1.8103, augment:0.2732
read:2.4421, augment:0.2785
read:3.9546, augment:0.2763
read:1.6050, augment:0.2759
read:0.6046, augment:0.2625
read:0.7305, augment:0.2568
read:1.1270, augment:0.2732
read:3.5710, augment:0.2823
read:1.3230, augment:0.2334
read:1.4632, augment:0.2685
read:1.2722, augment:0.2685
read:3.1123, augment:0.2737
read:2.3851, augment:0.2322
read:1.3986, augment:0.2749
read:3.1304, augment:0.2851
read:3.1948, augment:0.2725
read:2.2459, augment:0.2379
read:0.4623, augment:0.2284
read:0.5865, augment:0.2549
read:2.9972, augment:0.2742
read:2.7072, augment:0.2761
read:1.0536, augment:0.2642
read:1.1296, augment:0.2687
read:4.9400, augment:0.2725
read:1.4050, augment:0.2632
read:1.6842, augment:0.2670
read:0.5560, augment:0.2527
read:1.1163, augment:0.2582
read:2.1312, augment:0.2375
read:20.7703, augment:0.3126
read:1.6465, augment:0.2875
read:1.5488, augment:0.2344
read:4.0851, augment:0.2797
read:1.2126, augment:0.2856
read:2.6593, augment:0.2780
read:0.5431, augment:0.2503
read:0.8099, augment:0.2618
read:0.7927, augment:0.2577
read:2.2013, augment:0.2875
read:0.4690, augment:0.2468
