read:3.6273, augment:15.6391
read:3.3219, augment:17.1225
read:6.5889, augment:16.1757
read:4.1084, augment:17.4420
read:7.6997, augment:18.5769
read:3.1443, augment:17.4263
read:3.0401, augment:16.3651
read:4.3223, augment:16.6519
read:6.1166, augment:17.8437
read:1.4970, augment:15.2702
read:8.7898, augment:17.5192
read:10.0133, augment:17.7641
read:2.3878, augment:15.7979
read:2.5780, augment:15.6794
read:10.2210, augment:18.5421
read:6.6025, augment:19.1469
read:8.5707, augment:17.5271
read:5.5220, augment:16.5792
read:6.2363, augment:19.3033
read:1.7395, augment:15.9647
read:4.6275, augment:17.0696
read:2.7623, augment:16.6979
read:3.5779, augment:16.5184
read:2.6882, augment:19.0189
read:3.5121, augment:16.7027
read:5.9865, augment:18.2068
read:3.2008, augment:16.0182
read:3.5200, augment:16.8288
read:11.3928, augment:17.5946
read:2.7864, augment:16.8030
read:11.8277, augment:18.7874
read:6.0661, augment:16.8641
read:4.4329, augment:16.6211
read:4.3650, augment:16.4647
read:4.1566, augment:16.7301
read:3.1693, augment:16.1083
read:7.9353, augment:19.6717
read:0.9158, augment:16.0561
read:1.5330, augment:15.4583
read:9.0420, augment:18.6956
read:4.4055, augment:16.2804
read:11.4362, augment:18.5826
read:1.4508, augment:13.9518
read:8.8427, augment:18.7240
read:7.3936, augment:18.9886
read:7.4394, augment:18.5208
read:12.0525, augment:19.0082
read:19.1061, augment:15.8558
read:4.1203, augment:17.4205
read:2.6248, augment:17.2508
read:6.6450, augment:18.3103
read:17.0932, augment:18.4703
read:6.1195, augment:18.4686
read:8.1558, augment:17.6241
read:4.5333, augment:18.8463
read:8.1451, augment:18.6257
read:3.5784, augment:16.6869
read:2.5995, augment:16.5586
read:4.5416, augment:16.5191
read:4.2338, augment:16.7282
read:3.3724, augment:16.4888
read:7.2999, augment:19.9769
read:3.3791, augment:16.3202
read:3.9451, augment:18.5173
read:1.7886, augment:17.0794
read:1.8861, augment:15.6572
read:4.1635, augment:16.4125
read:12.8419, augment:17.5898
read:5.2602, augment:16.5329
read:8.1646, augment:18.5454
read:11.9066, augment:18.2590
read:6.5978, augment:21.9669
read:5.5232, augment:17.7364
read:4.5841, augment:16.2978
read:4.9336, augment:17.3664
read:4.1664, augment:16.1674
read:7.3223, augment:19.4502
read:7.9751, augment:17.5500
read:1.6708, augment:15.9590
read:8.1100, augment:17.5729
read:3.8097, augment:16.3002
read:8.8959, augment:18.8370
read:8.6980, augment:19.0864
read:2.3134, augment:12.9220
read:3.4077, augment:16.5188
read:9.0468, augment:17.4599
read:1.9083, augment:15.4388
read:2.8183, augment:15.9841
read:0.7370, augment:15.6589
read:4.3733, augment:15.9206
read:4.0367, augment:17.1258
read:8.1847, augment:18.5213
read:1.4849, augment:16.5620
read:8.2848, augment:17.6225
read:3.0911, augment:16.4061
read:0.9837, augment:16.2370
read:8.0516, augment:18.4884
read:17.2944, augment:19.1817
read:4.2274, augment:17.2341
read:1.4255, augment:15.5604
read:1.2610, augment:15.7950
read:7.6041, augment:18.4786
read:7.8197, augment:18.4414
read:8.4412, augment:17.8480
read:2.0857, augment:16.4888
read:16.3724, augment:19.3188
read:2.4674, augment:15.6889
read:0.9904, augment:15.2960
read:6.7337, augment:19.2978
read:6.5761, augment:17.7693
read:5.5370, augment:16.6342
read:2.1329, augment:15.8727
read:3.9635, augment:16.4070
read:0.7017, augment:16.1047
read:0.9480, augment:16.1712
read:8.7101, augment:17.4189
read:11.5619, augment:20.1073
read:4.6017, augment:16.7789
read:4.5180, augment:17.0619
read:6.8214, augment:17.7381
read:4.0483, augment:15.6465
read:3.5539, augment:16.9399
read:4.9005, augment:16.5370
read:2.7761, augment:15.9137
read:9.2244, augment:17.9124
read:5.5559, augment:17.2281
read:10.2503, augment:17.8988
read:1.0526, augment:16.8571
read:5.9485, augment:16.2270
read:6.1710, augment:18.9748
read:6.7391, augment:18.8460
read:2.6658, augment:16.5770
read:9.8927, augment:17.5641
read:6.3555, augment:17.6847
read:10.8666, augment:17.5991
read:5.6982, augment:19.3624
read:3.3436, augment:16.7990
read:2.7626, augment:15.9442
read:9.3553, augment:17.5185
read:5.6312, augment:17.5271
read:8.3115, augment:18.8735
read:3.8640, augment:16.9027
read:3.0370, augment:16.1166
read:5.5697, augment:16.0522
read:8.3330, augment:17.6449
read:3.3278, augment:15.9857
read:6.7828, augment:18.9536
read:284.3356, augment:22.2330
read:8.5278, augment:18.4877
read:8.6572, augment:18.3051
read:4.8854, augment:18.1446
read:4.6792, augment:17.2603
read:3.8149, augment:15.9545
read:8.5394, augment:18.6810
read:5.2485, augment:16.9675
read:2.1458, augment:16.5546
read:7.2474, augment:17.4768
read:4.8959, augment:18.2025
read:3.2170, augment:17.2324
read:4.2322, augment:15.9118
read:11.2190, augment:18.1680
read:6.6304, augment:18.2703
read:4.3488, augment:15.8651
read:3.3937, augment:17.2360
read:4.1747, augment:17.4804
read:4.8072, augment:18.0871
read:1.1883, augment:16.4132
read:1.5943, augment:15.6381
read:5.2922, augment:16.1240
read:13.9139, augment:17.4603
read:8.7025, augment:17.5061
read:7.8266, augment:18.6825
read:3.6266, augment:16.6450
read:8.7922, augment:19.6729
read:3.3491, augment:16.7766
read:4.9460, augment:20.1352
read:7.2007, augment:18.4188
read:4.0607, augment:16.4204
read:2.8341, augment:16.7100
read:3.1760, augment:16.1140
read:8.3797, augment:19.7871
read:10.1929, augment:17.8626
