(170, 150, 3)
(452, 353, 3)
(320, 400, 3)
(336, 350, 3)
(200, 225, 3)
(374, 500, 3)
(108, 500, 3)
(309, 500, 3)
(525, 648, 3)
(374, 500, 3)
(374, 500, 3)
(374, 500, 3)
(500, 215, 3)
(261, 382, 3)
(396, 500, 3)
(374, 500, 3)
(374, 500, 3)
(147, 500, 3)
(500, 500, 3)
(396, 500, 3)
(323, 486, 3)
(226, 300, 3)
(258, 393, 3)
(227, 440, 3)
(478, 500, 3)
(374, 500, 3)
(192, 320, 3)
(260, 384, 3)
(192, 500, 3)
(264, 382, 3)
(174, 500, 3)
(107, 150, 3)
(330, 500, 3)
(288, 432, 3)
(374, 500, 3)
(167, 500, 3)
(340, 500, 3)
(567, 409, 3)
(163, 488, 3)
(374, 500, 3)
(200, 230, 3)
(374, 500, 3)
(374, 500, 3)
(328, 500, 3)
(255, 376, 3)
(374, 500, 3)
(195, 240, 3)
(375, 500, 3)
(198, 500, 3)
(209, 460, 3)
(288, 432, 3)
(374, 500, 3)
(288, 432, 3)
(173, 200, 3)
(260, 197, 3)
(166, 500, 3)
(480, 720, 3)
(125, 490, 3)
(378, 563, 3)
(200, 244, 3)
(93, 116, 3)
(360, 480, 3)
(187, 500, 3)
(237, 424, 3)
(374, 500, 3)
(214, 214, 3)
(240, 320, 3)
(374, 500, 3)
(275, 183, 3)
(334, 425, 3)
(374, 500, 3)
(248, 500, 3)
(209, 200, 3)
(150, 223, 3)
(147, 500, 3)
(500, 179, 3)
(471, 500, 3)
(180, 150, 3)
(302, 500, 3)
(256, 500, 3)
(379, 500, 3)
(255, 500, 3)
(90, 135, 3)
(200, 464, 3)
(186, 234, 3)
(150, 190, 3)
(354, 221, 3)
(281, 500, 3)
(231, 429, 3)
(241, 500, 3)
(1053, 1276, 3)
(156, 500, 3)
(374, 500, 3)
(200, 200, 3)
(500, 335, 3)
(160, 153, 3)
(478, 500, 3)
(417, 425, 3)
(173, 500, 3)
(360, 480, 3)
(491, 500, 3)
(189, 500, 3)
(400, 500, 3)
(374, 500, 3)
(493, 500, 3)
(202, 200, 3)
(280, 200, 3)
(500, 396, 3)
(500, 375, 3)
(109, 500, 3)
(240, 360, 3)
(347, 225, 3)
(323, 500, 3)
(109, 500, 3)
(500, 346, 3)
(370, 523, 3)
(341, 500, 3)
(396, 500, 3)
(106, 500, 3)
(183, 240, 3)
(374, 500, 3)
(374, 500, 3)
(226, 274, 3)
(201, 438, 3)
(375, 500, 3)
(267, 400, 3)
(236, 405, 3)
(200, 200, 3)
(202, 300, 3)
(400, 500, 3)
(844, 1420, 3)
(226, 408, 3)
(108, 500, 3)
(383, 480, 3)
(318, 425, 3)
(374, 500, 3)
(109, 500, 3)
(319, 186, 3)
(240, 180, 3)
(236, 500, 3)
(180, 150, 3)
(193, 241, 3)
(189, 250, 3)
(374, 500, 3)
(152, 202, 3)
(450, 600, 3)
(163, 200, 3)
(307, 460, 3)
(374, 500, 3)
(212, 250, 3)
(396, 500, 3)
(500, 335, 3)
(157, 500, 3)
(73, 150, 3)
(189, 200, 3)
