read:0.9325, augment:0.6149
read:4.5681, augment:0.4933
read:2.0046, augment:0.2809
read:1.4157, augment:0.2732
read:0.7222, augment:0.2720
read:3.3755, augment:0.3080
read:1.5299, augment:0.2398
read:1.6208, augment:0.2756
read:8.4624, augment:0.3285
read:2.9337, augment:0.2813
read:2.2712, augment:0.2749
read:6.2959, augment:0.2880
read:1.5433, augment:0.2687
read:1.7676, augment:0.3095
read:3.5286, augment:0.2789
read:2.8741, augment:0.2818
read:5.1506, augment:0.2830
read:1.4355, augment:0.2584
read:3.0930, augment:0.2811
read:3.4668, augment:0.2785
read:1.7130, augment:0.2728
read:0.9470, augment:0.2673
read:1.6840, augment:0.2675
read:1.9605, augment:0.2646
read:1.2786, augment:0.2794
read:4.9646, augment:0.2403
read:0.8841, augment:0.2646
read:1.2667, augment:0.2713
read:1.9419, augment:0.2654
read:1.7636, augment:0.2646
read:1.9357, augment:0.2713
read:0.2933, augment:0.2220
read:4.7576, augment:0.2742
read:1.7715, augment:0.2747
read:1.8835, augment:0.2718
read:1.3683, augment:0.2689
read:2.0313, augment:0.2706
read:2.7490, augment:0.2763
read:0.9792, augment:0.2637
read:2.9771, augment:0.2759
read:0.6123, augment:0.2625
read:3.1805, augment:0.2742
read:2.1033, augment:0.2742
read:3.3684, augment:0.2759
read:1.2009, augment:0.2637
read:5.3995, augment:0.2775
read:0.3150, augment:0.2894
read:4.3378, augment:0.2794
read:0.8004, augment:0.2646
read:1.5867, augment:0.2706
read:0.9909, augment:0.2694
read:2.0678, augment:0.2711
read:1.0984, augment:0.2742
read:0.5426, augment:0.2568
read:0.6425, augment:0.2565
read:0.5994, augment:0.2615
read:8.4152, augment:0.3326
read:0.9446, augment:0.2458
read:2.4121, augment:0.2797
read:0.7377, augment:0.2592
read:0.1714, augment:0.2165
read:1.8017, augment:0.2694
read:1.9615, augment:0.2730
read:2.0540, augment:0.2689
read:2.9914, augment:0.2933
read:0.7644, augment:0.2832
read:1.2021, augment:0.2804
read:2.4328, augment:0.2921
read:0.9828, augment:0.2739
read:2.2202, augment:0.2954
read:2.3887, augment:0.2904
read:0.8023, augment:0.2930
read:0.6392, augment:0.2806
read:0.4604, augment:0.2582
read:0.6244, augment:0.2599
read:0.8290, augment:0.2635
read:3.4044, augment:0.2754
read:0.3812, augment:0.2666
read:1.1709, augment:0.2697
read:1.1289, augment:0.2673
read:2.8570, augment:0.2782
read:2.1858, augment:0.2751
read:0.2310, augment:0.2217
read:1.5094, augment:0.2649
read:1.1060, augment:0.2611
read:1.1542, augment:0.2525
read:1.4641, augment:0.2656
read:2.1656, augment:0.2766
read:1.9293, augment:0.2680
read:2.0330, augment:0.2792
read:22.9621, augment:0.4942
read:0.7496, augment:0.2542
read:2.1093, augment:0.2789
read:0.4895, augment:0.2613
read:3.0591, augment:0.2706
read:0.3622, augment:0.2534
read:2.0819, augment:0.2861
read:3.2523, augment:0.2704
