read:3.0546, augment:1.1983
read:1.6830, augment:1.2591
read:5.4176, augment:1.4017
read:3.4003, augment:1.2219
read:4.9729, augment:1.4248
read:1.5314, augment:1.2593
read:2.4626, augment:1.1775
read:2.2721, augment:1.3230
read:2.7323, augment:1.3444
read:0.7591, augment:1.0703
read:6.7577, augment:1.3773
read:7.8554, augment:1.3223
read:1.6675, augment:1.1828
read:1.1461, augment:1.1981
read:7.9646, augment:1.4446
read:2.8229, augment:1.4467
read:6.7575, augment:1.4405
read:4.4878, augment:1.3106
read:2.7223, augment:1.4174
read:1.4493, augment:1.1079
read:3.4478, augment:1.1945
read:2.2202, augment:1.1938
read:1.6041, augment:1.3416
read:1.0214, augment:1.2398
read:2.8183, augment:1.0517
read:2.7311, augment:1.3719
read:1.7874, augment:1.2455
read:2.8994, augment:1.2105
read:8.3814, augment:1.3790
read:2.0249, augment:1.2386
read:8.1661, augment:1.4665
read:4.4692, augment:1.2641
read:2.2981, augment:1.3537
read:3.7272, augment:1.2910
read:1.9133, augment:1.3645
read:1.6460, augment:1.2944
read:5.0004, augment:1.3955
read:0.6726, augment:0.9923
read:1.0703, augment:1.0004
read:7.1480, augment:1.4396
read:3.5851, augment:1.2507
read:9.0227, augment:1.3146
read:1.1714, augment:1.1022
read:7.0913, augment:1.2925
read:5.8954, augment:1.3583
read:5.7571, augment:1.3921
read:8.7671, augment:1.3077
read:14.0071, augment:1.2975
read:3.2554, augment:1.2312
read:2.2073, augment:1.2121
read:3.0208, augment:1.3936
read:12.4285, augment:1.3576
read:2.9225, augment:1.3671
read:5.9669, augment:1.4460
read:2.0208, augment:1.4310
read:5.3446, augment:1.3101
read:1.7307, augment:1.3309
read:1.5090, augment:1.1895
read:3.8257, augment:1.2307
read:3.5334, augment:1.1489
read:1.5476, augment:1.3201
read:5.7497, augment:1.4169
read:1.5554, augment:1.3306
read:1.4873, augment:1.3325
read:1.3232, augment:1.1358
read:1.4646, augment:1.1325
read:2.1145, augment:1.3216
read:9.9869, augment:1.3263
read:4.1976, augment:1.2739
read:6.0599, augment:1.3118
read:8.2254, augment:1.4393
read:2.3475, augment:1.3158
read:2.1973, augment:1.4386
read:3.6972, augment:1.2522
read:2.4853, augment:1.4296
read:2.8992, augment:1.2302
read:2.0607, augment:1.4541
read:5.9702, augment:1.4408
read:1.2946, augment:1.0505
read:5.9938, augment:1.3273
read:1.7805, augment:1.3130
read:7.1011, augment:1.2314
read:6.5382, augment:1.3752
read:1.6930, augment:1.1778
read:2.5239, augment:1.1647
read:7.0815, augment:1.4365
read:1.2484, augment:1.0197
read:1.4405, augment:1.2321
read:0.3548, augment:1.0006
read:3.5899, augment:1.0266
read:2.0239, augment:1.3382
read:5.3868, augment:1.3638
read:1.1210, augment:1.0755
read:5.5704, augment:1.3874
read:2.5833, augment:1.2569
read:0.5298, augment:1.0414
read:5.5103, augment:1.3211
read:12.6019, augment:1.2946
read:3.2623, augment:1.2734
read:1.0407, augment:1.0533
read:0.5748, augment:1.0791
read:5.1241, augment:1.4386
read:5.1982, augment:1.2822
read:6.8290, augment:1.3666
read:1.6069, augment:0.9351
read:12.5029, augment:1.3754
read:1.9643, augment:1.1244
read:0.6888, augment:0.9892
read:2.5344, augment:1.3814
read:5.1970, augment:1.3695
read:3.8021, augment:1.3540
read:1.5924, augment:1.1749
read:2.0940, augment:1.3309
read:0.3858, augment:0.9720
read:0.6249, augment:0.9363
read:6.5944, augment:1.3216
read:7.7753, augment:1.3258
read:3.7692, augment:1.1668
read:3.5794, augment:1.3349
read:5.0714, augment:1.3170
read:3.2151, augment:1.1046
read:1.8382, augment:1.3156
read:3.8166, augment:1.2214
read:1.3607, augment:1.2040
read:6.8717, augment:1.3850
read:2.7549, augment:1.3478
read:6.9757, augment:1.3278
read:0.8039, augment:1.0207
read:4.6747, augment:1.3268
read:3.0324, augment:1.1203
read:3.3271, augment:1.2875
read:1.4212, augment:1.2364
read:7.7450, augment:1.3855
read:2.9995, augment:1.3752
read:8.6920, augment:1.3740
read:2.3701, augment:1.3058
read:2.7452, augment:1.1778
read:1.4584, augment:1.2281
read:6.5627, augment:1.3874
read:2.8572, augment:1.3568
read:4.9033, augment:1.3285
read:3.1893, augment:1.1947
read:2.4045, augment:1.1642
read:4.4913, augment:1.3433
read:6.6996, augment:1.3728
read:1.5235, augment:1.2693
read:5.1363, augment:1.2856
read:233.1860, augment:3.8338
read:6.4692, augment:1.3354
read:6.5365, augment:1.2901
read:1.8058, augment:1.2939
read:3.6898, augment:1.2305
read:2.8121, augment:1.1740
read:6.7337, augment:1.3127
read:4.0259, augment:1.2558
read:1.0898, augment:1.0288
read:5.6336, augment:1.2879
read:3.6423, augment:1.2243
read:1.2527, augment:1.3678
read:3.3557, augment:1.2186
read:8.6462, augment:1.4539
read:2.8658, augment:1.4422
read:3.3314, augment:1.2374
read:2.5339, augment:1.3022
read:3.3722, augment:1.2794
read:3.8202, augment:1.2023
read:0.9246, augment:1.1761
read:1.0853, augment:1.0164
read:4.1299, augment:1.3618
read:10.4527, augment:1.2321
read:6.6659, augment:1.3711
read:6.2571, augment:1.2994
read:1.4229, augment:1.3499
read:6.5315, augment:1.3211
read:2.7559, augment:1.2028
read:2.1560, augment:1.3282
read:3.2518, augment:1.4281
read:1.9817, augment:1.3669
read:2.3041, augment:1.1265
read:1.6718, augment:1.3571
read:5.5923, augment:1.4102
read:7.7260, augment:1.4806
read:7.1073, augment:1.3356
read:2.0146, augment:1.2286
read:5.9843, augment:1.3921
read:4.8468, augment:1.3041
read:7.3085, augment:1.3852
read:2.2123, augment:1.1055
read:2.8193, augment:1.2469
read:8.4512, augment:1.3785
read:0.6363, augment:0.8233
read:2.8892, augment:1.1563
read:3.0668, augment:1.2684
read:4.6597, augment:1.3640
read:4.0081, augment:1.3058
read:3.8099, augment:1.2171
read:0.9277, augment:1.0505
read:3.7410, augment:1.2195
read:1.4944, augment:1.1442
read:3.5963, augment:1.1930
read:7.3276, augment:1.3103
read:343.5438, augment:4.0271
read:4.0154, augment:1.3130
read:1.6911, augment:1.3814
read:12.7099, augment:1.3878
read:1.5137, augment:1.1606
read:0.5174, augment:0.8376
read:38.5916, augment:1.3967
read:2.4476, augment:1.2920
read:2.7823, augment:1.2372
read:5.5447, augment:1.2801
read:1.0333, augment:1.0662
read:2.0089, augment:1.2417
read:8.4631, augment:1.3053
read:7.7922, augment:1.3027
read:3.4459, augment:1.2836
read:11.3018, augment:1.3752
read:3.9668, augment:1.1976
read:0.6878, augment:0.9696
read:0.8092, augment:1.0397
read:1.2615, augment:1.2608
read:6.7172, augment:1.3528
read:2.0328, augment:1.1356
read:1.0483, augment:1.0045
read:8.6665, augment:1.3840
read:4.4446, augment:1.3316
read:0.9596, augment:0.9983
read:1.5001, augment:1.1234
read:0.6614, augment:0.9387
read:5.5392, augment:1.3769
read:0.7460, augment:1.0543
read:0.8881, augment:1.0049
read:5.4581, augment:1.3297
read:44.8728, augment:1.3893
read:1.1296, augment:1.2267
read:0.8473, augment:1.0598
read:1.2281, augment:1.0276
read:4.9219, augment:1.4172
read:6.5708, augment:1.4033
read:11.4214, augment:1.3790
read:4.7700, augment:1.2927
read:0.9942, augment:1.0538
read:4.1711, augment:1.3807
read:0.5245, augment:0.9737
read:2.4085, augment:1.2043
read:2.3150, augment:1.1165
read:3.6771, augment:1.3356
read:3.3975, augment:1.2498
read:1.2145, augment:1.0231
read:2.4734, augment:1.1225
read:16.2590, augment:1.4191
read:2.3689, augment:1.2715
read:5.6064, augment:1.1785
read:1.8671, augment:1.3642
read:3.0699, augment:1.4226
read:2.3668, augment:1.2023
read:9.6433, augment:1.3468
read:0.5691, augment:0.9768
read:4.5130, augment:1.3909
read:8.4217, augment:1.3254
read:6.8214, augment:1.4021
read:6.1314, augment:1.3175
read:7.3538, augment:1.3826
read:2.0583, augment:1.1511
read:12.4123, augment:1.3468
read:10.1864, augment:1.3642
read:9.1083, augment:1.3232
read:0.5937, augment:1.0457
read:8.5278, augment:1.3573
read:13.6049, augment:1.3504
read:4.3762, augment:1.2770
read:0.9360, augment:1.0426
read:22.8138, augment:1.3890
read:12.3396, augment:1.3254
read:8.1601, augment:1.3728
read:6.4549, augment:1.4539
read:1.3657, augment:1.1339
read:3.2537, augment:1.3413
read:17.7305, augment:1.3249
read:0.5791, augment:1.0111
read:1.6496, augment:1.1842
read:1.6847, augment:1.1322
read:7.8223, augment:1.3330
read:0.9096, augment:1.0693
read:7.0379, augment:1.3192
read:1.8430, augment:1.1690
read:0.9453, augment:1.0049
read:0.2887, augment:0.9353
read:16.8660, augment:1.3337
read:1.7796, augment:1.0948
read:2.8672, augment:1.2286
read:4.9911, augment:1.3766
read:11.3742, augment:1.3995
read:1.1616, augment:1.0574
read:3.4871, augment:1.2813
read:2.8210, augment:1.0965
read:0.5660, augment:0.9260
read:8.2314, augment:1.4114
